match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-09-27,flat_random,meng yuan,iga swiatek,P2,16.0,1.0,1,15.0,107.625
2025-09-27,flat_random,patricia fargas osorio,iga swiatek,P1,10.5,1.0,0,-1.0,106.625
2025-09-27,flat_random,lin zhu,stefani andreeva,P1,5.4,1.0,0,-1.0,105.625
2025-09-27,flat_random,stefani andreeva,jessica bouzas maneiro,P1,1.17,1.0,1,0.17,105.795
2025-09-27,flat_random,zhanlan wei,zeynep sonmez,P2,1.48,1.0,1,0.48,106.275
2025-09-27,flat_random,zeynep sonmez,clara tauson,P1,3.45,1.0,1,2.45,108.725
2025-09-27,flat_random,shuai zhang,eva lys,P1,8.0,1.0,0,-1.0,107.725
2025-09-27,flat_random,jelena jovic,eva lys,P1,1.93,1.0,0,-1.0,106.725
2025-09-27,flat_random,elena rybakina,eva lys,P2,6.1,1.0,1,5.1,111.825
2025-09-27,flat_random,eva lys,f kessler,P2,1.9,1.0,0,-1.0,110.825
2025-09-27,flat_random,katie volynets,peyton stearns,P2,1.71,1.0,0,-1.0,109.825
2025-09-27,flat_random,cristina bucsa,emma raducanu,P1,3.55,1.0,0,-1.0,108.825
2025-09-27,flat_random,belinda bencic,coco gauff,P1,3.25,1.0,0,-1.0,107.825
2025-09-27,flat_random,dildora rakhimova,coco gauff,P2,8.75,1.0,1,7.75,115.575
2025-09-27,flat_random,eva lys,coco gauff,P2,1.19,1.0,1,0.19,115.765
2025-09-27,flat_random,elsa jacquemot,antonia ruzic,P2,1.96,1.0,1,0.96,116.725
2025-09-27,flat_random,shi ting wang,linda noskova,P1,2.88,1.0,0,-1.0,115.725
2025-09-27,flat_random,jessica pegula,linda noskova,P1,1.49,1.0,0,-1.0,114.725
2025-09-27,flat_random,daria potapova,linda noskova,P2,1.47,1.0,1,0.47,115.195
2025-09-27,flat_random,linda noskova,sonay kartal,P2,2.45,1.0,0,-1.0,114.195
2025-09-27,flat_random,dalma galfi,lois boisson,P1,1.78,1.0,0,-1.0,113.195
2025-09-27,flat_random,liudmila samsonova,lois boisson,P2,2.52,1.0,1,1.52,114.715
2025-09-27,flat_random,jaqueline cristian,jessica bouzas maneiro,P2,2.05,1.0,1,1.05,115.765
2025-09-27,flat_random,dayana yastremska,jessica bouzas maneiro,P1,1.89,1.0,0,-1.0,114.765
2025-09-27,flat_random,daria kasatkina,sonay kartal,P2,2.0,1.0,1,1.0,115.765
2025-09-27,flat_random,stefani andreeva,sonay kartal,P1,1.19,1.0,0,-1.0,114.765
2025-09-27,flat_random,sonay kartal,maya joint,P1,2.42,1.0,1,1.42,116.185
2025-09-27,flat_random,elena gabriela ruse,g navarro,P2,1.48,1.0,1,0.48,116.665
2025-09-27,flat_random,iga swiatek,g navarro,P2,7.2,1.0,1,6.2,122.865
2025-09-27,flat_random,lois boisson,g navarro,P1,2.45,1.0,0,-1.0,121.865
2025-09-27,flat_random,magdalena frech,ella seidel,P2,1.65,1.0,1,0.65,122.515
2025-09-27,flat_random,diana shnaider,maya joint,P1,1.36,1.0,0,-1.0,121.515
