trained_at,tour,split_mode,rows_train,rows_test,catboost_accuracy,catboost_log_loss,xgboost_accuracy,xgboost_log_loss,ensemble_accuracy,ensemble_log_loss,ensemble_ece,train_cutoff,lgbm_accuracy,lgbm_log_loss,rf_accuracy,rf_log_loss,elasticnet_accuracy,elasticnet_log_loss,logreg_accuracy,logreg_log_loss,ensemble_winner,temporal_cv_folds,temporal_cv_winner_accuracy_mean,temporal_cv_winner_log_loss_mean,temporal_cv_winner_brier_mean,interval_confidence_level,interval_empirical_coverage,interval_mean_width
2026-03-14T21:59:05Z,atp,strict_cutoff,189745,2982,0.6468812877263581,0.6210178667317282,0.6371562709590879,0.6207497076464252,0.6458752515090543,0.6203194013990395,0.0231427041797122,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T22:01:11Z,wta,strict_cutoff,153979,1796,0.6820712694877505,0.5959555149906627,0.6954342984409799,0.5862596469316546,0.6870824053452116,0.5907966381102318,0.049941850255065,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T22:39:14Z,wta,strict_cutoff,153979,3240,0.7373456790123457,0.5306983569729087,0.7487654320987654,0.5221963503782208,0.7395061728395061,0.5262323968923096,0.0330168515195148,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T22:39:31Z,atp,strict_cutoff,189745,2982,0.6468812877263581,0.6210178667317282,0.6371562709590879,0.6207497076464252,0.6458752515090543,0.6203194013990395,0.0231427041797122,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T22:56:21Z,wta,strict_cutoff,153979,1796,0.6815144766146993,0.5958237495523162,0.6937639198218263,0.5857019226884079,0.6859688195991092,0.5904913139488057,0.0453172039208918,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T23:42:55Z,atp,strict_cutoff,189740,2981,0.6470982891647098,0.6205831374436133,0.6434082522643408,0.6203687377173535,0.6470982891647098,0.6198845267905211,0.021064504511177,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T23:44:54Z,wta,strict_cutoff,153935,1917,0.6885758998435054,0.5884874305719182,0.6917057902973396,0.5826815701317447,0.6885758998435054,0.5852641979857763,0.0445359775940423,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T23:12:31Z,atp,strict_cutoff,189745,2982,0.6495640509725017,0.6197852089829897,0.6448692152917505,0.6173432513017892,0.647551978537894,0.6182265398644984,0.0378729571775219,2025-01-01,,,,,,,,,,,,,,,,
2026-03-15T00:29:54Z,wta,strict_cutoff,153979,1796,0.6932071269487751,0.5856158459819274,0.6943207126948775,0.5795432546601847,0.6943207126948775,0.5826670031327343,0.0460142606618931,2025-01-01,,,,,,,,,,,,,,,,
2026-03-19T00:12:07Z,atp,strict_cutoff,192033,688,0.6555232558139535,0.6368565982278491,0.6555232558139535,0.634274829876198,0.6656976744186046,0.6353036410275906,0.0517636887555656,2025-09-20,0.6482558139534884,0.6343385353643062,0.6438953488372093,0.6295029410936644,0.6511627906976745,0.6254770355398265,0.6497093023255814,0.6266526700175998,cat60_xgb40,3.0,0.6797895478681394,0.5879275070897377,0.2020977673900431,,,
2026-03-19T00:37:17Z,wta,strict_cutoff,155585,810,0.9049382716049382,0.2574134688214361,0.9049382716049382,0.2953370089380207,0.9074074074074074,0.2803020054881201,0.0776608562068536,2025-09-20,0.9098765432098764,0.3031140106118602,0.7493827160493827,0.5292782161960474,0.7111111111111111,0.554476179277631,0.7222222222222222,0.5471938652174849,top3_equal,3.0,0.6828639131347671,0.5851274990563263,0.2010316823841047,,,
2026-03-19T02:31:23Z,atp,strict_cutoff,192033,688,0.688953488372093,0.5989465953865153,0.684593023255814,0.6062691740921101,0.688953488372093,0.6000153672462923,0.0467711323046689,2025-09-20,0.686046511627907,0.6024931436861217,0.6802325581395349,0.5907238794966065,0.6627906976744186,0.6323749703534913,0.6656976744186046,0.6321699132352955,top3_equal,3.0,0.724176478450528,0.5126513249281018,0.1751594100184831,,,
