match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2025-10-27,flat_random,Alexander Bublik,Alexei Popyrin,P2,2.76,1.0,0,-1.0,99.23
2025-10-27,flat_random,Alexandre Muller,Brandon Nakashima,P1,3.175,1.0,1,2.175,101.405
2025-10-27,flat_random,Andrey Rublev,Jacob Fearnley,P2,2.135,1.0,0,-1.0,100.405
2025-10-27,flat_random,Andrey Rublev,Learner Tien,P2,1.825,1.0,0,-1.0,99.405
2025-10-27,flat_random,Taylor Fritz,Aleksandar Vukic,P2,5.6,1.0,0,-1.0,98.405
2025-10-27,flat_random,Arthur Rinderknech,Fabian Marozsan,P2,1.51,1.0,0,-1.0,97.405
2025-10-27,flat_random,Aleksandar Vukic,Terence Atmane,P1,1.755,1.0,1,0.755,98.16
2025-10-27,flat_random,Marcos Giron,Daniel Altmaier,P2,2.36,1.0,1,1.36,99.52
2025-10-27,flat_random,Daniel Altmaier,Casper Ruud,P1,3.09,1.0,1,2.09,101.61
2025-10-27,flat_random,Lorenzo Sonego,Sebastian Korda,P2,1.41,1.0,0,-1.0,100.61
2025-10-27,flat_random,Lorenzo Sonego,Lorenzo Musetti,P2,1.35,1.0,0,-1.0,99.61
2025-10-27,flat_random,Reilly Opelka,Corentin Moutet,P1,2.615,1.0,0,-1.0,98.61
2025-10-27,flat_random,Alexander Bublik,Felix Auger-Aliassime,P2,2.7,1.0,1,1.7,100.31
2025-10-27,flat_random,Alexandre Muller,Felix Auger-Aliassime,P2,1.22,1.0,1,0.22,100.53
2025-10-27,flat_random,Daniel Altmaier,Felix Auger-Aliassime,P1,2.6,1.0,0,-1.0,99.53
2025-10-27,flat_random,Felix Auger-Aliassime,Valentin Vacherot,P1,1.55,1.0,1,0.55,100.08
2025-10-27,flat_random,Felix Auger-Aliassime,Francisco Comesana,P1,1.15,1.0,1,0.15,100.23
2025-10-27,flat_random,Tomas Martin Etcheverry,Camilo Ugo Carabelli,P1,1.125,1.0,0,-1.0,99.23
2025-10-27,flat_random,Miomir Kecmanovic,Aleksandar Kovacevic,P1,1.545,1.0,1,0.545,99.775
2025-10-27,flat_random,Alejandro Davidovich Fokina,Valentin Royer,P2,2.56,1.0,0,-1.0,98.775
2025-10-27,flat_random,Alejandro Davidovich Fokina,Arthur Cazaux,P2,2.4,1.0,0,-1.0,97.775
2025-10-27,flat_random,Zizou Bergs,Alex Michelsen,P1,1.81,1.0,1,0.81,98.585
2025-10-27,flat_random,Karen Khachanov,Alex de Minaur,P2,1.56,1.0,1,0.56,99.145
2025-10-27,flat_random,Alex de Minaur,Gabriel Diallo,P2,3.4,1.0,0,-1.0,98.145
2025-10-27,flat_random,Cameron Norrie,Valentin Vacherot,P1,1.96,1.0,0,-1.0,97.145
2025-10-27,flat_random,Arthur Rinderknech,Valentin Vacherot,P2,1.55,1.0,1,0.55,97.695
2025-10-27,flat_random,Valentin Vacherot,Jiri Lehecka,P2,1.405,1.0,0,-1.0,96.695
2025-10-27,flat_random,Damir Dzumhur,Francisco Cerundolo,P2,1.21,1.0,1,0.21,96.905
2025-10-27,flat_random,Miomir Kecmanovic,Francisco Cerundolo,P2,1.35,1.0,1,0.35,97.255
2025-10-27,flat_random,Alexander Zverev,Jannik Sinner,P2,1.16,1.0,1,0.16,97.415
2025-10-27,flat_random,Felix Auger-Aliassime,Jannik Sinner,P1,1.05,1.0,0,-1.0,96.415
2025-10-27,flat_random,Zizou Bergs,Jannik Sinner,P2,1.02,1.0,1,0.02,96.435
2025-10-27,flat_random,Francisco Cerundolo,Jannik Sinner,P2,1.02,1.0,1,0.02,96.455
2025-10-27,flat_random,Jannik Sinner,Ben Shelton,P1,1.07,1.0,1,0.07,96.525
2025-10-27,flat_random,Tomas Machac,Flavio Cobolli,P2,1.65,1.0,1,0.65,97.175
2025-10-27,flat_random,Arthur Cazaux,Luciano Darderi,P1,1.31,1.0,1,0.31,97.485
2025-10-27,flat_random,Tallon Griekspoor,Gabriel Diallo,P1,1.685,1.0,0,-1.0,96.485
2025-10-27,flat_random,Andrey Rublev,Ben Shelton,P1,2.07,1.0,0,-1.0,95.485
2025-10-27,flat_random,Flavio Cobolli,Ben Shelton,P2,1.845,1.0,1,0.845,96.33
2025-10-27,flat_random,Nuno Borges,Learner Tien,P1,2.92,1.0,0,-1.0,95.33
2025-10-27,flat_random,Denis Shapovalov,Joao Fonseca,P1,2.22,1.0,0,-1.0,94.33
2025-11-03,flat_random,Cameron Norrie,Valentin Royer,P1,1.43,1.0,1,0.43,94.76
2025-11-03,flat_random,Quentin Halys,Matteo Berrettini,P2,1.21,1.0,1,0.21,94.97
2025-11-03,flat_random,Vitaliy Sachko,Giovanni Mpetshi Perricard,P2,1.18,1.0,0,-1.0,93.97
2025-11-03,flat_random,Jan Choinski,Lorenzo Sonego,P1,4.0,1.0,0,-1.0,92.97
2025-11-03,flat_random,Ugo Blanchet,Learner Tien,P1,3.9,1.0,0,-1.0,91.97
2026-01-04,flat_random,Frances Tiafoe,Aleksandar Vukic,P2,2.53,1.0,0,-1.0,90.97
